Mixture;B cells;CD4 Naive;CD4 Memory;CD8 Naive;CD8 Memory;CD8 Effector;Treg cell;Th cell;Monocytes CD16;Monocytes CD14;DC;NK
TCGA-GN-A264-06A-11R-A18U-07;0.092775971;0;0.288105547;0.094424287;0;0;0;0.330570945;0;0;0.015897098;0.004862291
TCGA-GN-A265-06A-21R-A18T-07;0;0.231458735;0.006010863;0;0;0.01335417;0;0.186388292;0;0.051385438;0.145132989;0.000549121
TCGA-HR-A2OG-06A-21R-A18U-07;0.083345157;0.117021081;0.07494628;0;0;0.011039046;0;0.307103737;0;0.094882239;0.052087907;0
TCGA-ER-A19Q-06A-11R-A18U-07;0.040181947;0.056047952;0;0;0;0;0.065124373;0.060942978;0;0.08258888;0.272369634;0.00919951
TCGA-EE-A2MI-06A-11R-A18U-07;0;0.394481556;0.041679963;0;0;0.042819712;0;0.002581345;0;0;0.247825402;0
TCGA-ER-A1A1-06A-11R-A18U-07;0.263092045;0.059038977;0;0;0.173003635;0.042695632;0;0.241506134;0;0;0.072718392;0
TCGA-FS-A1ZQ-06A-11R-A18U-07;0;0.253033188;0;0;0;0.00097333;0.065276799;0.142375369;0;0;0.188775819;0.002087564
TCGA-FS-A1ZT-06A-11R-A18U-07;0.065203393;0.367017015;0;0;0;0.019105416;0;0.40443432;0;0;0.011759363;0
TCGA-D3-A2J7-06A-11R-A18T-07;0.006157952;0;0.359921168;0;0.013251502;0.004519609;0;0.182818365;0;0.200175364;0.021397006;0
TCGA-D3-A2JC-06A-11R-A18T-07;0.081536759;0.141878818;0.048212727;0;0;0.010590433;0;0.221772881;0;0.102253215;0.046993997;0
TCGA-D3-A1Q6-06A-11R-A18T-07;0;0;0.421644309;0;0;6.42E-05;0;0.324678176;0;0.125531545;0.073183113;0
TCGA-D3-A1Q5-06A-11R-A18T-07;0.059946139;0.099183451;0.228369076;0;0.07600062;0;0;0.403958769;0;0;0;0
TCGA-GN-A268-06A-11R-A18T-07;0;0;0.220240939;0.113386113;0;0.018543569;0;0.421954578;0;0;0;0.003522345
TCGA-GN-A267-06A-21R-A18T-07;0;0;0.110540893;0.056458315;0;0;0;0.56196044;0;0;0.044552797;0.000101277
TCGA-D3-A2JD-06A-11R-A18T-07;0.239421235;0;0;0;0;0.037323109;0.275218389;0.117871446;0;0;0.02560699;0
TCGA-EE-A2A1-06A-11R-A18T-07;0.063300329;0.081968809;0.058562171;0;0;0.006400515;0;0.299790473;0;0.023304251;0.060048251;0.001984849
TCGA-EE-A2A2-06A-11R-A18T-07;0.038103472;0.079314068;0.326439392;0;0;0.018542676;0;0.427002211;0;0;0.0092145;0.005134585
TCGA-D3-A2JA-06A-11R-A18T-07;0;0.318306446;0.086370096;0;0;0.018075545;0;0.096107;0;0.011757836;0.367869543;0
TCGA-EE-A29M-06A-11R-A18T-07;0.027522882;0.260054101;0.243641516;0;0;0;0;0.246416513;0;0;0.009488853;0.014500981
TCGA-EE-A2GD-06A-11R-A18T-07;0;0.368192226;0.108647664;0;0;0.005977697;0;0.079268544;0.000309462;0.18775449;0;0
TCGA-FS-A1ZR-06A-21R-A18U-07;0;0;0.349490146;0;0;0;0;0.401296408;0;0;0.033796809;0
TCGA-EE-A29P-06A-11R-A18T-07;0.041327033;0.174241778;0.067310439;0;0;0.096464162;0;0.111475526;0;0;0.251144339;0
TCGA-D3-A3CF-06A-11R-A18T-07;0.073454673;0.217593553;0.03075056;0;0;0.073962008;0.00509536;0.158177575;0;0.02206487;0.096417813;0
TCGA-EE-A2GC-06A-11R-A18T-07;0;0.146946624;0.224086109;0;0;0.013577365;0;0.032611487;0;0;0.217228992;0
TCGA-GN-A26A-06A-11R-A18T-07;0;0.158423468;0.23465926;0;0.02551952;0.022319958;0;0.252955991;0;0.00694013;0.206714254;0
TCGA-D3-A2JB-06A-11R-A18T-07;0.132275698;0.174043001;0.081731631;0;0;0.026198343;0.134359455;0.127219553;0;0;0.051287626;0
TCGA-DA-A1HW-06A-11R-A18U-07;0;0;0.15003722;0.148000037;0.045333711;0;0;0.204963879;0.001717805;0;0;0.001468842
TCGA-DA-A1I2-06A-21R-A18U-07;0;0;0.144716042;0;0.025609948;0;0;0.379901073;0;0.077998383;0.034044414;0
TCGA-EE-A20I-06A-11R-A18U-07;0.037472599;0;0.229797627;0;0;0.022727524;0;0.271977791;0;0.013544678;0;0.005420244
TCGA-EE-A17Y-06A-11R-A18T-07;0.003642251;0.022732638;0.245531611;0;0;0.00136251;0;0.539192472;0;0.049741541;0;0
TCGA-EE-A2GB-06A-11R-A18T-07;0;0.225463827;0.093850887;0;0;0.022999155;0;0.353728754;0;0.027147773;0.006023987;0
TCGA-ER-A19A-06A-21R-A18U-07;0;0.235256897;0;0;0.07197304;0.013678636;0.012160723;0.073738812;0;0.125787571;0.217744326;0
TCGA-EE-A2GI-06A-11R-A18T-07;0.200264805;0.008477929;0;0;0;0.031120079;0;0.337290661;0;0;0.175459215;0
TCGA-EE-A2GR-06A-11R-A18S-07;0;0;0.12462847;0.07649976;0;0;0;0.567832017;0;0;0;0
TCGA-EE-A29W-06A-11R-A18U-07;0.052440602;0.164389202;0.091876785;0;0;0.014405745;0;0.635198375;0.001794196;0.004054734;0;0
TCGA-D3-A3C7-06A-11R-A18U-07;0;0.053767948;0.329494797;0;0;0.017465875;0;0.062968385;0;0.134971738;0.281282445;0
TCGA-D3-A3C6-06A-12R-A18U-07;0;0.322931323;0;0;0;0.007372908;0;0.44449656;0;0.136487592;0;0
TCGA-DA-A1I1-06A-12R-A18U-07;0;0.211519557;0.176088465;0;0;0.016479091;0;0.228640882;0;0.037080749;0.16529118;0
TCGA-EE-A29A-06A-12R-A18U-07;0;0.05663299;0.229312599;0;0;0.0110942;0;0.555918737;0;0.024762268;0;0
TCGA-EE-A20B-06A-11R-A18U-07;0.129753992;0.228437539;0;0;0;0.024226647;0;0.428923311;0;0.028369011;0.014984312;0
TCGA-EE-A29B-06A-11R-A18U-07;0.183724849;0.018524245;0.091354993;0;0;0.014952183;0;0.586540532;0;0;0.010491662;0
TCGA-EE-A2GJ-06A-11R-A18U-07;0;0.078653101;0;0;0;0.01671718;0;0.175903462;0;0.034071964;0.361328542;0
TCGA-EE-A2M7-06A-11R-A18U-07;0.083986732;0.086236338;0.090321646;0;0.030872263;0.010125769;0;0.537669718;0;0;0.008596848;0
TCGA-ER-A195-06A-11R-A18U-07;0.076199867;0;0.193483903;0;0.087411477;0.003321151;0.059383382;0.123504644;0;0.075886875;0.071756878;0
TCGA-ER-A194-01A-11R-A18U-07;0.144156092;0;0.103024014;0;0;0.017049482;0.218143017;0;0;0;0.410472314;0.00060009
TCGA-BF-A1PV-01A-11R-A18U-07;0;0;0.297091321;0;0;0;0;0.498821554;0;0.036047342;0;0
TCGA-EB-A299-01A-21R-A18U-07;0.095872507;0;0.139732452;0;0.029075296;0.001724189;0;0.363229647;0.119593132;0;0.090142118;0
TCGA-D3-A2JH-06A-11R-A18T-07;0.089206274;0.255046634;0.016371179;0;0;0.081186845;0;0.269807752;0;0.018820166;0.105832447;0
TCGA-D3-A2JF-06A-11R-A18S-07;0;0.400704687;0.055122944;0;0;0.055646934;0;0.095903543;0;0;0.311455022;0.000447153
TCGA-EE-A29R-06A-11R-A18T-07;0;0.283106157;0.204646093;0;0;0.014053955;0;0.364732687;0;0.055725525;0.016287185;0.00152578
TCGA-EE-A29Q-06A-11R-A18T-07;0.105268496;0.054240961;0.150035701;0;0;0;0;0.598090944;0.002806565;0;0;0
TCGA-D3-A2JG-06A-11R-A18T-07;0;0;0.181969567;0.196237853;0.013136819;0;0;0.424268004;0.000340023;0;0;0
TCGA-GN-A263-01A-11R-A18T-07;0;0.293875113;0.233159066;0;0;0.011861172;0;0.289774947;0;0.029520602;0.023849917;0
TCGA-FS-A1ZS-06A-12R-A18T-07;0;0;0.477193341;0;0;0.003212416;0;0.293377103;0;0.110191565;0.090744849;0.004976371
TCGA-D3-A1Q7-06A-11R-A18T-07;0;0.188768612;0.150004086;0;0;0.048615306;0.020567683;0;0;0.042433635;0.307798522;0
TCGA-EE-A2GU-06A-11R-A18T-07;0.147840998;0.333186903;0;0;0;0.027512404;0;0.133596623;0;0.016549888;0.082366091;0.000890146
TCGA-FS-A1Z0-06A-11R-A18T-07;0.133746873;0.216213702;0.005106626;0;0.022432566;0.016563026;0;0.436518077;0;0.001213981;0.042779278;0
TCGA-DA-A1I4-06A-11R-A18U-07;0.003328848;0.20388892;0.309107807;0;0;0.061360212;0;0.157924523;0;0.054009164;0.086379819;0
TCGA-EE-A2ME-06A-11R-A18T-07;0.064002701;0.280885116;0;0;0.169500066;0.014156504;0;0.143703313;0;0;0.185426839;0
